YEAR,STATE,OVERDOSE_RATE,OVERDOSE_DEATHS
2018,AL,16.6,775
2018,AK,14.6,110
2018,AZ,23.8,1670
2018,AR,15.7,444
2018,CA,12.8,5348
2018,CO,16.8,995
2018,CT,30.7,1069
2018,DE,43.8,401
2018,FL,22.8,4698
2018,GA,13.2,1404
2018,HI,14.3,213
2018,ID,14.6,250
2018,IL,21.3,2722
2018,IN,25.6,1629
2018,IA,9.6,287
2018,KS,12.4,345
2018,KY,30.9,1315
2018,LA,25.4,1140
2018,ME,27.9,345
2018,MD,37.2,2324
2018,MA,32.8,2241
2018,MI,26.6,2591
2018,MN,11.5,636
2018,MS,10.8,310
2018,MO,27.5,1610
2018,MT,12.2,125
2018,NE,7.4,138
2018,NV,21.2,688
2018,NH,35.8,452
2018,NJ,33.1,2900
2018,NM,26.7,537
2018,NY,18.4,3697
2018,NC,22.4,2259
2018,ND,10.2,70
2018,OH,35.9,3980
2018,OK,18.4,716
2018,OR,12.6,547
2018,PA,36.1,4415
2018,RI,30.1,317
2018,SC,22.6,1125
2018,SD,6.9,57
2018,TN,27.5,1823
2018,TX,10.4,3005
2018,UT,21.2,624
2018,VT,26.6,153
2018,VA,17.1,1448
2018,WA,14.8,1164
2018,WV,51.5,856
2018,WI,19.2,1079
2018,WY,11.1,66
2017,AL,18,835
2017,AK,20.2,147
2017,AZ,22.2,1532
2017,AR,15.5,446
2017,CA,11.7,4868
2017,CO,17.6,1015
2017,CT,30.9,1072
2017,DE,37,338
2017,FL,25.1,5088
2017,GA,14.7,1537
2017,HI,13.8,203
2017,ID,14.4,236
2017,IL,21.6,2778
2017,IN,29.4,1852
2017,IA,11.5,341
2017,KS,11.8,333
2017,KY,37.2,1566
2017,LA,24.5,1108
2017,ME,34.4,424
2017,MD,36.3,2247
2017,MA,31.8,2168
2017,MI,27.8,2694
2017,MN,13.3,733
2017,MS,12.2,354
2017,MO,23.4,1367
2017,MT,11.7,119
2017,NE,8.1,152
2017,NV,21.6,676
2017,NH,37,467
2017,NJ,30,2685
2017,NM,24.8,493
2017,NY,19.4,3921
2017,NC,24.1,2414
2017,ND,9.2,68
2017,OH,46.3,5111
2017,OK,20.1,775
2017,OR,12.4,530
2017,PA,44.3,5388
2017,RI,31,320
2017,SC,20.5,1008
2017,SD,8.5,73
2017,TN,26.6,1776
2017,TX,10.5,2989
2017,UT,22.3,650
2017,VT,23.2,134
2017,VA,17.9,1507
2017,WA,15.2,1169
2017,WV,57.8,974
2017,WI,21.2,1177
2017,WY,12.2,69
2016,AL,16.2,756
2016,AK,16.8,128
2016,AZ,20.3,1382
2016,AR,14,401
2016,CA,11.2,4654
2016,CO,16.6,942
2016,CT,27.4,971
2016,DE,30.8,282
2016,FL,23.7,4728
2016,GA,13.3,1394
2016,HI,12.8,191
2016,ID,15.2,243
2016,IL,18.9,2411
2016,IN,24,1526
2016,IA,10.6,314
2016,KS,11.1,313
2016,KY,33.5,1419
2016,LA,21.8,996
2016,ME,28.7,353
2016,MD,33.2,2044
2016,MA,33,2227
2016,MI,24.4,2347
2016,MN,12.5,672
2016,MS,12.1,352
2016,MO,23.6,1371
2016,MT,11.7,119
2016,NE,6.4,120
2016,NV,21.7,665
2016,NH,39,481
2016,NJ,23.2,2056
2016,NM,25.2,500
2016,NY,18,3638
2016,NC,19.7,1956
2016,ND,10.6,77
2016,OH,39.1,4329
2016,OK,21.5,813
2016,OR,11.9,506
2016,PA,37.9,4627
2016,RI,30.8,326
2016,SC,18.1,879
2016,SD,8.4,69
2016,TN,24.5,1630
2016,TX,10.1,2831
2016,UT,22.4,635
2016,VT,22.2,125
2016,VA,16.7,1405
2016,WA,14.5,1102
2016,WV,52,884
2016,WI,19.3,1074
2016,WY,17.6,99
2015,AL,15.7,736
2015,AK,16,122
2015,AZ,19,1274
2015,AR,13.8,392
2015,CA,11.3,4659
2015,CO,15.4,869
2015,CT,22.1,800
2015,DE,22,198
2015,FL,16.2,3228
2015,GA,12.7,1302
2015,HI,11.3,169
2015,ID,14.2,218
2015,IL,14.1,1835
2015,IN,19.5,1245
2015,IA,10.3,309
2015,KS,11.8,329
2015,KY,29.9,1273
2015,LA,19,861
2015,ME,21.2,269
2015,MD,20.9,1285
2015,MA,25.7,1724
2015,MI,20.4,1980
2015,MN,10.6,581
2015,MS,12.3,351
2015,MO,17.9,1066
2015,MT,13.8,138
2015,NE,6.9,126
2015,NV,20.4,619
2015,NH,34.3,422
2015,NJ,16.3,1454
2015,NM,25.3,501
2015,NY,13.6,2754
2015,NC,15.8,1567
2015,ND,8.6,61
2015,OH,29.9,3310
2015,OK,19,725
2015,OR,12,505
2015,PA,26.3,3264
2015,RI,28.2,310
2015,SC,15.7,761
2015,SD,8.4,65
2015,TN,22.2,1457
2015,TX,9.4,2588
2015,UT,23.4,646
2015,VT,16.7,99
2015,VA,12.4,1039
2015,WA,14.7,1094
2015,WV,41.5,725
2015,WI,15.5,878
2015,WY,16.4,96
2014,AL,15.2,723
2014,AK,16.8,124
2014,AZ,12.6,356
2014,AR,18.2,1211
2014,CA,11.1,4521
2014,CO,16.3,899
2014,CT,17.6,623
2014,DE,20.9,189
2014,FL,13.2,2634
2014,GA,11.9,1206
2014,HI,10.9,157
2014,ID,13.7,212
2014,IL,13.1,1705
2014,IN,18.2,1172
2014,IA,8.8,264
2014,KS,11.7,332
2014,KY,24.7,1077
2014,LA,16.9,777
2014,ME,16.8,216
2014,MD,17.4,1070
2014,MA,19,1289
2014,MI,18,1762
2014,MN,9.6,517
2014,MS,11.6,336
2014,MO,18.2,1067
2014,MT,12.4,125
2014,NE,7.2,125
2014,NV,18.4,545
2014,NH,26.2,334
2014,NJ,14,1253
2014,NM,27.3,547
2014,NY,11.3,2300
2014,NC,13.8,1358
2014,ND,6.3,43
2014,OH,24.6,2744
2014,OK,20.3,777
2014,OR,12.8,522
2014,PA,21.9,2732
2014,RI,23.4,247
2014,SC,14.4,701
2014,SD,7.8,63
2014,TN,19.5,1269
2014,TX,9.7,2601
2014,UT,22.4,603
2014,VT,13.9,83
2014,VA,11.7,980
2014,WA,13.3,979
2014,WV,35.5,627
2014,WI,15.1,853
2014,WY,19.4,109
2005,AL,6.3,283
2005,AK,11.4,79
2005,AZ,14.1,794
2005,AR,10.1,269
2005,CA,9,3214
2005,CO,12.7,608
2005,CT,8.5,295
2005,DE,7.5,62
2005,FL,13.5,2371
2005,GA,8.2,738
2005,HI,9.4,126
2005,ID,8.1,109
2005,IL,8.4,1067
2005,IN,9.8,610
2005,IA,4.8,141
2005,KS,9.1,241
2005,KY,15.3,638
2005,LA,14.7,661
2005,ME,12.4,163
2005,MD,11.4,656
2005,MA,12,780
2005,MI,9.8,985
2005,MN,5.4,282
2005,MS,8.8,248
2005,MO,10.7,608
2005,MT,10.1,96
2005,NE,5,86
2005,NV,18.7,457
2005,NH,10.7,142
2005,NJ,9.4,823
2005,NM,20.1,373
2005,NY,4.8,944
2005,NC,11.4,1000
2005,ND,0,12
2005,OH,10.9,1243
2005,OK,13.8,478
2005,OR,10.4,386
2005,PA,13.2,1613
2005,RI,14.3,156
2005,SC,9.9,427
2005,SD,5.5,40
2005,TN,14.5,872
2005,TX,8.5,1910
2005,UT,19.3,438
2005,VT,8.5,53
2005,VA,7.5,581
2005,WA,13,850
2005,WV,10.5,184
2005,WI,9.3,518
2005,WY,4.9,26
1999,AL,3.9,169
1999,AK,7.5,46
1999,AZ,10.6,511
1999,AR,4.4,113
1999,CA,8.1,2662
1999,CO,8,349
1999,CT,9,310
1999,DE,6.4,50
1999,FL,6.4,997
1999,GA,3.5,283
1999,HI,6.5,80
1999,ID,5.3,64
1999,IL,6.7,825
1999,IN,3.2,191
1999,IA,1.9,53
1999,KS,3.4,89
1999,KY,4.9,197
1999,LA,4.3,188
1999,ME,5.3,67
1999,MD,11.4,629
1999,MA,7.5,488
1999,MI,4.6,460
1999,MN,2.8,136
1999,MS,3.2,87
1999,MO,5,276
1999,MT,4.6,41
1999,NE,2.3,39
1999,NV,11.5,227
1999,NH,4.3,54
1999,NJ,6.5,557
1999,NM,15,266
1999,NY,5,959
1999,NC,4.6,366
1999,ND,0,12
1999,OH,4.2,467
1999,OK,5.4,178
1999,OR,6.1,210
1999,PA,8.1,990
1999,RI,5.5,58
1999,SC,3.7,147
1999,SD,0,17
1999,TN,6.1,344
1999,TX,5.4,1087
1999,UT,10.6,205
1999,VT,4.7,29
1999,VA,5,366
1999,WA,9.3,555
1999,WV,4.1,75
1999,WI,4,212
1999,WY,4.1,20
